State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
WEST BENGAL,KOLKATA,2026-09-02,58.57,HIGH,4496694.0,2633714,522,31,100.0,75.14,IMMEDIATE,1
UTTAR PRADESH,VARANASI,2026-08-25,63.99,HIGH,3676841.0,2352811,262,25,89.33433926386843,74.13,HIGH,2
UTTAR PRADESH,AZAMGARH,2026-08-25,53.4,HIGH,4613913.0,2463830,262,4,93.54964130501642,69.46,HIGH,3
ASSAM,NAGAON,2026-08-24,67.2,HIGH,2823768.0,1897572,369,9,72.04928097735745,69.14,HIGH,4
ASSAM,DHUBRI,2026-08-31,74.75,HIGH,1949258.0,1457070,220,4,55.32377471509815,66.98,HIGH,5
ASSAM,NAGAON,2026-08-23,62.95,HIGH,2823768.0,1777562,369,9,67.49259790546733,64.77,HIGH,6
RAJASTHAN,JAIPUR,2026-09-06,39.14,MEDIUM,6626178.0,2593486,665,36,98.47257523026418,62.87,HIGH,7
ASSAM,DHUBRI,2026-09-01,68.77,HIGH,1949258.0,1340505,220,4,50.8978955194072,61.62,HIGH,8
KERALA,MALAPPURAM,2026-08-25,49.04,MEDIUM,4112920.0,2016976,523,327,76.58295471717886,60.06,HIGH,9
WEST BENGAL,KOLKATA,2026-09-03,46.69,MEDIUM,4496694.0,2099506,522,31,79.71655236673382,59.9,HIGH,10
ASSAM,LAKHIMPUR,2026-08-21,78.78,CRITICAL,1042137.0,820996,124,4,31.17255708098905,59.74,HIGH,11
UTTAR PRADESH,BAHRAICH,2026-08-22,52.86,HIGH,3487731.0,1843615,262,4,70.00057713176146,59.72,HIGH,12
UTTAR PRADESH,AZAMGARH,2026-09-01,45.76,MEDIUM,4613913.0,2111327,262,4,80.16538621885292,59.52,HIGH,13
BIHAR,PATNA,2026-09-02,39.96,MEDIUM,5838465.0,2333051,309,39,88.58406797397136,59.41,HIGH,14
RAJASTHAN,JAIPUR,2026-09-05,36.44,MEDIUM,6626178.0,2414579,665,36,91.6796204903038,58.54,HIGH,15
UTTAR PRADESH,LUCKNOW,2026-09-02,45.05,MEDIUM,4589838.0,2067722,262,24,78.50973947816658,58.43,HIGH,16
UTTAR PRADESH,BIJNOR,2026-09-06,49.75,MEDIUM,3682713.0,1832150,262,3,69.56526031300285,57.68,HIGH,17
